sent_id,text,tokens,doc_id,doc_group,author,title
112-733,"κατὰ δὲ γόος ἅμα χαρᾷ τὸ σὸν νοτίζει βλέφαρον, ὡσαύτως δʼ ἐμόν.","κατὰ δὲ γόος ἅμα χαρᾷ τὸ σὸν νοτίζει βλέφαρον , ὡσαύτως δʼ ἐμόν .",112,Greek tragedies,Euripides,Iphigenia in Tauris
186-836,ἥ σʼ ἀπέκτανεν·,ἥ σʼ ἀπέκτανεν ·,186,Greek tragedies,Euripides,Rhesus
380-978,δῆλος δὲ καὶ νῦν ἐστιν ἀλγεινῶς φέρων οἷς τʼ αὐτὸς ἐξήμαρτεν οἷς τʼ ἐγὼ ʼπαθον.,δῆλος δὲ καὶ νῦν ἐστιν ἀλγεινῶς φέρων οἷς τʼ αὐτὸς ἐξήμαρτεν οἷς τʼ ἐγὼ ʼπαθον .,380,Greek tragedies,Sophocles,Philoctetes
389-475,·,·,389,Greek tragedies,Euripides,Medea
665-829,σοὶ γὰρ ἐκπλήσσουσί με λόγοι παραλλάσσοντες ἔξεδροι φρενῶν.,σοὶ γὰρ ἐκπλήσσουσί με λόγοι παραλλάσσοντες ἔξεδροι φρενῶν .,665,Greek tragedies,Euripides,Hippolytus
112-520,Χορός ὦ σχέτλιοι πομπαί.,Χορός ὦ σχέτλιοι πομπαί .,112,Greek tragedies,Euripides,Iphigenia in Tauris
38-358,"ἀλλά, χθόνιοι δαίμονες ἁγνοί, Γῆ τε καὶ Ἑρμῆ, βασιλεῦ τʼ ἐνέρων, πέμψατʼ ἔνερθεν ψυχὴν ἐς φῶς·","ἀλλά , χθόνιοι δαίμονες ἁγνοί , Γῆ τε καὶ Ἑρμῆ , βασιλεῦ τʼ ἐνέρων , πέμψατʼ ἔνερθεν ψυχὴν ἐς φῶς ·",38,Greek tragedies,Aeschylus,Persians
754-447,"τίνʼ ὄψιν σήν, γύναι,","τίνʼ ὄψιν σήν , γύναι ,",754,Greek tragedies,Euripides,Helen
643-328,"Ἀγαμέμνονος μὲν γὰρ τύχας ἠπιστάμην καὶ θάνατον,","Ἀγαμέμνονος μὲν γὰρ τύχας ἠπιστάμην καὶ θάνατον ,",643,Greek tragedies,Euripides,Orestes
380-1096,"Χορός πρὸς θεῶν, εἴ τι σέβει ξένον,","Χορός πρὸς θεῶν , εἴ τι σέβει ξένον ,",380,Greek tragedies,Sophocles,Philoctetes
647-606,προφήτας δʼ οὔτινας ματεύομεν.,προφήτας δʼ οὔτινας ματεύομεν .,647,Greek tragedies,Aeschylus,Agamemnon
430-255,αἰτήσομαι γάρ σ—,αἰτήσομαι γάρ σ —,430,Greek tragedies,Euripides,Alcestis
110-426,"Πρέσβυς ἀλλʼ εὐγενεῖς μέν,","Πρέσβυς ἀλλʼ εὐγενεῖς μέν ,",110,Greek tragedies,Euripides,Elektra
314-221,"Αἴθρα εἴπω τι,","Αἴθρα εἴπω τι ,",314,Greek tragedies,Euripides,The Suppliants
643-531,"Ὀρέστης ὦ γέρον, ἐγώ τοι πρὸς σὲ δειμαίνω λέγειν,","Ὀρέστης ὦ γέρον , ἐγώ τοι πρὸς σὲ δειμαίνω λέγειν ,",643,Greek tragedies,Euripides,Orestes
561-535,"εἰ διδακτόν, ἐξ ὅτου φοβεῖ","εἰ διδακτόν , ἐξ ὅτου φοβεῖ",561,Greek tragedies,Sophocles,Women of Trachis
430-234,σοῦ γὰρ φθιμένης οὐκέτ ἂν εἴην·,σοῦ γὰρ φθιμένης οὐκέτ ἂν εἴην ·,430,Greek tragedies,Euripides,Alcestis
292-1412,"ἔμελλε δʼ αὐτὰ διασιωπήσας ἄναξ ἐν ταῖς Ἀθήναις γνωριεῖν ταύτην τε σήν, σέ θʼ ὡς πέφυκας τῆσδε καὶ Φοίβου πατρός.","ἔμελλε δʼ αὐτὰ διασιωπήσας ἄναξ ἐν ταῖς Ἀθήναις γνωριεῖν ταύτην τε σήν , σέ θʼ ὡς πέφυκας τῆσδε καὶ Φοίβου πατρός .",292,Greek tragedies,Euripides,Ion
380-760,"ὅρα ποῦ στάσει,","ὅρα ποῦ στάσει ,",380,Greek tragedies,Sophocles,Philoctetes
561-296,"Χορός πεύθου μολοῦσα τἀνδρός,","Χορός πεύθου μολοῦσα τ ἀνδρός ,",561,Greek tragedies,Sophocles,Women of Trachis
254-541,.,.,254,Greek tragedies,Sophocles,Oedipus at Colonus
186-774,λεύσσων τόδε,λεύσσων τόδε,186,Greek tragedies,Euripides,Rhesus
605-744,ὁ νικήσων δʼ ἐγὼ καὶ Βρόμιος ἔσται.,ὁ νικήσων δʼ ἐγὼ καὶ Βρόμιος ἔσται .,605,Greek tragedies,Euripides,Bacchae
254-181,"αὔδασον, τίς ἔφυς βροτῶν;","αὔδασον , τίς ἔφυς βροτῶν ;",254,Greek tragedies,Sophocles,Oedipus at Colonus
575-720,"ἢν γὰρ εὑρεθῇ λέγων σοὶ ταὔτʼ, ἔγωγʼ ἂν ἐκπεφευγοίην πάθος.","ἢν γὰρ εὑρεθῇ λέγων σοὶ ταὔτʼ , ἔγωγʼ ἂν ἐκπεφευγοίην πάθος .",575,Greek tragedies,Sophocles,Oedipus King
561-778,Ὕλλος ἀλλʼ ἐπί μοι μελέῳ βάρος ἄπλετον·,Ὕλλος ἀλλʼ ἐπί μοι μελέῳ βάρος ἄπλετον ·,561,Greek tragedies,Sophocles,Women of Trachis
428-660,"Ἠλέκτρα μή μέ νυν μηκέτι παραγάγῃς, ἵνʼ οὐ Χορός τί φής;","Ἠλέκτρα μή μέ νυν μηκέτι παραγάγῃς , ἵνʼ οὐ Χορός τί φής ;",428,Greek tragedies,Sophocles,Electra
130-336,θύγατερ,θύγατερ,130,Greek tragedies,Euripides,Heracles
652-218,",",",",652,Greek tragedies,Euripides,The Trojan Women
743-609,φεῦ.,φεῦ .,743,Greek tragedies,Aeschylus,Eumenides
276-442,"Τέκμησσα ὦ δέσποτʼ Αἴας, τί ποτε δρασείεις φρενί;","Τέκμησσα ὦ δέσποτʼ Αἴας , τί ποτε δρασείεις φρενί ;",276,Greek tragedies,Sophocles,Ajax
605-653,ἀνθρώποισι δʼ ἠπιώτατος,ἀνθρώποισι δʼ ἠπιώτατος,605,Greek tragedies,Euripides,Bacchae
169-782,"ὦ γεραιά,","ὦ γεραιά ,",169,Greek tragedies,Euripides,Heracleidae
754-912,"Χορός οὐδείς ποτʼ εὐτύχησεν ἔκδικος γεγώς,","Χορός οὐδείς ποτʼ εὐτύχησεν ἔκδικος γεγώς ,",754,Greek tragedies,Euripides,Helen
432-187,"Κυλλήνη βραχύς, χυτρώδης,","Κυλλήνη βραχύς , χυτρώδης ,",432,Greek tragedies,Sophocles,Tracking Satyrs
575-894,Οἰδίπους κᾆθʼ ὧδʼ ἀπʼ ἄλλης χειρὸς ἔστερξεν μέγα;,Οἰδίπους κᾆθʼ ὧδʼ ἀπʼ ἄλλης χειρὸς ἔστερξεν μέγα ;,575,Greek tragedies,Sophocles,Oedipus King
349-637,καιέτω τὸν Αἴτνας μηλονόμον.,καιέτω τὸν Αἴτνας μηλονόμον .,349,Greek tragedies,Euripides,Cyclops
169-176,ἃ δʼ ἐκτὸς ἤδη τοῦ προσήκοντός σε δεῖ τεῖσαι λέγω σοι παισί·,ἃ δʼ ἐκτὸς ἤδη τοῦ προσήκοντός σε δεῖ τεῖσαι λέγω σοι παισί ·,169,Greek tragedies,Euripides,Heracleidae
130-492,τᾶς δʼ εὐγενίας πλέον ὑπερβάλλων ἀρετᾷ μοχθήσας τὸν ἄκυμον θῆκεν βίοτον βροτοῖς πέρσας δείματα θηρῶν.,τᾶς δʼ εὐγενίας πλέον ὑπερβάλλων ἀρετᾷ μοχθήσας τὸν ἄκυμον θῆκεν βίοτον βροτοῖς πέρσας δείματα θηρῶν .,130,Greek tragedies,Euripides,Heracles
389-163,"ἵνα δ εὔδειπνοι δαῖτες, τί μάτην τείνουσι βοήν;","ἵνα δ εὔδειπνοι δαῖτες , τί μάτην τείνουσι βοήν ;",389,Greek tragedies,Euripides,Medea
430-989,Ἡρακλῆς ἐς σὰς μὲν οὖν ἔγωγε θήσομαι χέρας.,Ἡρακλῆς ἐς σὰς μὲν οὖν ἔγωγε θήσομαι χέρας .,430,Greek tragedies,Euripides,Alcestis
169-847,καίτοι φημὶ κἄμʼ εἶναί τινα.,καίτοι φημὶ κἄμʼ εἶναί τινα .,169,Greek tragedies,Euripides,Heracleidae
389-484,αὐθαδίᾳ φίλους ἀπωθῇ·,αὐθαδίᾳ φίλους ἀπωθῇ ·,389,Greek tragedies,Euripides,Medea
254-462,Οἰδίπους ὅταν δὲ τούτων γῆ μελάμφυλλος τύχῃ; Χορός τρὶς ἐννέʼ αὐτῇ κλῶνας ἐξ ἀμφοῖν χεροῖν τιθεὶς ἐλαίας τάσδʼ ἐπεύχεσθαι λιτάς.,Οἰδίπους ὅταν δὲ τούτων γῆ μελάμφυλλος τύχῃ ; Χορός τρὶς ἐννέʼ αὐτῇ κλῶνας ἐξ ἀμφοῖν χεροῖν τιθεὶς ἐλαίας τάσδʼ ἐπεύχεσθαι λιτάς .,254,Greek tragedies,Sophocles,Oedipus at Colonus
605-757,"Χορός ὃς ἀδίκῳ γνώμᾳ παρανόμῳ τʼ ὀργᾷ περὶ σὰ Βάκχιʼ, ὄργια ματρός τε σᾶς μανείσᾳ πραπίδι παρακόπῳ τε λήματι στέλλεται, τἀνίκατον ὡς κρατήσων βίᾳ, γνωμᾶν σωφρόνα θάνατος ἀπροφάσιστος ἐς τὰ θεῶν ἔφυ·","Χορός ὃς ἀδίκῳ γνώμᾳ παρανόμῳ τʼ ὀργᾷ περὶ σὰ Βάκχιʼ , ὄργια ματρός τε σᾶς μανείσᾳ πραπίδι παρακόπῳ τε λήματι στέλλεται , τἀνίκατον ὡς κρατήσων βίᾳ , γνωμᾶν σωφρόνα θάνατος ἀπροφάσιστος ἐς τὰ θεῶν ἔφυ ·",605,Greek tragedies,Euripides,Bacchae
430-241,παρόν μοι μὴ θανεῖν,παρόν μοι μὴ θανεῖν,430,Greek tragedies,Euripides,Alcestis
647-881,"Χορός μεγαλόμητις εἶ,","Χορός μεγαλόμητις εἶ ,",647,Greek tragedies,Aeschylus,Agamemnon
575-1103,Ἐξάγγελος ὦ γῆς μέγιστα τῆσδʼ ἀεὶ τιμώμενοι,Ἐξάγγελος ὦ γῆς μέγιστα τῆσδʼ ἀεὶ τιμώμενοι,575,Greek tragedies,Sophocles,Oedipus King
314-417,.,.,314,Greek tragedies,Euripides,The Suppliants
605-106,ἀλλʼ ἐμῆς ἔχου χερός.,ἀλλʼ ἐμῆς ἔχου χερός .,605,Greek tragedies,Euripides,Bacchae
575-477,"νῦν πᾶσι χαίρω,","νῦν πᾶσι χαίρω ,",575,Greek tragedies,Sophocles,Oedipus King
380-380,"ποῦ χρὴ τίθεσθαι ταῦτα,","ποῦ χρὴ τίθεσθαι ταῦτα ,",380,Greek tragedies,Sophocles,Philoctetes
428-821,Χρυσόθεμις μακρὸς τὸ κρῖναι ταῦτα χὠ λοιπὸς χρόνος.,Χρυσόθεμις μακρὸς τὸ κρῖναι ταῦτα χὠ λοιπὸς χρόνος .,428,Greek tragedies,Sophocles,Electra
169-297,"τῶν μὲν γὰρ Ἥρα προστατεῖ, Διὸς δάμαρ, ἡμῶν δʼ Ἀθηνᾶ.","τῶν μὲν γὰρ Ἥρα προστατεῖ , Διὸς δάμαρ , ἡμῶν δʼ Ἀθηνᾶ .",169,Greek tragedies,Euripides,Heracleidae
328-11,ἐγὼ δʼ ἄτολμός εἰμι συγγενῆ θεὸν δῆσαι βίᾳ φάραγγι πρὸς δυσχειμέρῳ.,ἐγὼ δʼ ἄτολμός εἰμι συγγενῆ θεὸν δῆσαι βίᾳ φάραγγι πρὸς δυσχειμέρῳ .,328,Greek tragedies,Aeschylus,Prometheus Bound
743-472,"οὔκ ἔστι μήτηρ ἡ κεκλημένου τέκνου τοκεύς,","οὔκ ἔστι μήτηρ ἡ κεκλημένου τέκνου τοκεύς ,",743,Greek tragedies,Aeschylus,Eumenides
390-106,"σύ τε,","σύ τε ,",390,Greek tragedies,Aeschylus,Seven against Thebes
314-466,"Θησεύς λέγʼ,","Θησεύς λέγʼ ,",314,Greek tragedies,Euripides,The Suppliants
652-404,διὰ γάμον μιᾶς ἕνα γυναικὸς οἵων ἔτυχον ὧν τε τεύξομαι.,διὰ γάμον μιᾶς ἕνα γυναικὸς οἵων ἔτυχον ὧν τε τεύξομαι .,652,Greek tragedies,Euripides,The Trojan Women
605-713,ἢ χεροῖν ἀνασπάσω κορυφαῖς ὑποβαλὼν ὦμον ἢ βραχίονα;,ἢ χεροῖν ἀνασπάσω κορυφαῖς ὑποβαλὼν ὦμον ἢ βραχίονα ;,605,Greek tragedies,Euripides,Bacchae
428-1016,Ἠλέκτρα ὦ φίλτατον φῶς.,Ἠλέκτρα ὦ φίλτατον φῶς .,428,Greek tragedies,Sophocles,Electra
754-1234,ἐγὼ δὲ διὰ τὸ μὲν στέργειν πόσιν καὶ ξυνθάνοιμʼ ἄν·,ἐγὼ δὲ διὰ τὸ μὲν στέργειν πόσιν καὶ ξυνθάνοιμʼ ἄν ·,754,Greek tragedies,Euripides,Helen
380-1042,γενναῖός περ ὤν,γενναῖός περ ὤν,380,Greek tragedies,Sophocles,Philoctetes
502-480,ὦ κάκιστε κἀκ κακῶν,ὦ κάκιστε κἀκ κακῶν,502,Greek tragedies,Euripides,Andromache
146-19,"Χορός νῦν δʼ ἐπικεκλομένα Δῖον πόρτιν ὑπερ πόντιον τιμάορʼ, ἶνίν τʼ ἀνθονομούσας προγόνου βοὸς ἐξ ἐπιπνοίας Ζηνὸς ἔφαψιν·","Χορός νῦν δʼ ἐπικεκλομένα Δῖον πόρτιν ὑπερ πόντιον τιμάορʼ , ἶνίν τʼ ἀνθονομούσας προγόνου βοὸς ἐξ ἐπιπνοίας Ζηνὸς ἔφαψιν ·",146,Greek tragedies,Aeschylus,Suppliants
389-238,χωρὶς γὰρ ἄλλης ἧς ἔχουσιν ἀργίας φθόνον πρὸς ἀστῶν ἀλφάνουσι δυσμενῆ.,χωρὶς γὰρ ἄλλης ἧς ἔχουσιν ἀργίας φθόνον πρὸς ἀστῶν ἀλφάνουσι δυσμενῆ .,389,Greek tragedies,Euripides,Medea
112-884,τῇδε γὰρ νοσεῖ νόστος πρὸς οἴκους·,τῇδε γὰρ νοσεῖ νόστος πρὸς οἴκους ·,112,Greek tragedies,Euripides,Iphigenia in Tauris
452-1403,"Ἀντιγόνη κἀκεῖνο κέκριται,","Ἀντιγόνη κἀκεῖνο κέκριται ,",452,Greek tragedies,Euripides,The Phoenician Women
607-1021,οὐχ ὅσιον,οὐχ ὅσιον,607,Greek tragedies,Euripides,Hecuba
428-871,Χορός ἀλλʼ εὖ θʼ ἱκάνεις χὠ φράσας ἀζήμιος.,Χορός ἀλλʼ εὖ θʼ ἱκάνεις χὠ φράσας ἀζήμιος .,428,Greek tragedies,Sophocles,Electra
146-691,"θῆρες δὲ κηραίνουσι καὶ βροτοί, τί μήν;","θῆρες δὲ κηραίνουσι καὶ βροτοί , τί μήν ;",146,Greek tragedies,Aeschylus,Suppliants
380-476,.,.,380,Greek tragedies,Sophocles,Philoctetes
452-1352,οὐ μὴν ἑλίξας γʼ ἀμφὶ σὸν χεῖρας γόνυ κακὸς φανοῦμαι·,οὐ μὴν ἑλίξας γʼ ἀμφὶ σὸν χεῖρας γόνυ κακὸς φανοῦμαι ·,452,Greek tragedies,Euripides,The Phoenician Women
380-584,"θάρσει,","θάρσει ,",380,Greek tragedies,Sophocles,Philoctetes
665-428,οἱ καλοὶ λίαν λόγοι.,οἱ καλοὶ λίαν λόγοι .,665,Greek tragedies,Euripides,Hippolytus
607-659,", ἀθλιωτάτη βροτῶν οἴμοι τάλαινα, ποῖ μʼ ὑπεξάγεις πόδα; ἔοικα πράξειν οὐδέν·",", ἀθλιωτάτη βροτῶν οἴμοι τάλαινα , ποῖ μʼ ὑπεξάγεις πόδα ; ἔοικα πράξειν οὐδέν ·",607,Greek tragedies,Euripides,Hecuba
652-181,τῷ πάλος ἔζευξεν;,τῷ πάλος ἔζευξεν ;,652,Greek tragedies,Euripides,The Trojan Women
292-586,εὐτυχεῖν δʼ ἐπίστασο·,εὐτυχεῖν δʼ ἐπίστασο ·,292,Greek tragedies,Euripides,Ion
428-684,"Ἠλέκτρα τίνʼ, ὦ τάλαινʼ,","Ἠλέκτρα τίνʼ , ὦ τάλαινʼ ,",428,Greek tragedies,Sophocles,Electra
292-373,"σὺ δʼ ἀμφὶ βωμούς, ὦ γύναι,","σὺ δʼ ἀμφὶ βωμούς , ὦ γύναι ,",292,Greek tragedies,Euripides,Ion
390-225,"πολλὰ γάρ, εὖτε πτόλις δαμασθῇ, ἒ ἔ,","πολλὰ γάρ , εὖτε πτόλις δαμασθῇ , ἒ ἔ ,",390,Greek tragedies,Aeschylus,Seven against Thebes
754-56,γύναι,γύναι,754,Greek tragedies,Euripides,Helen
428-544,"ὁ δʼ ὄγδοος λεύκιππος,","ὁ δʼ ὄγδοος λεύκιππος ,",428,Greek tragedies,Sophocles,Electra
643-912,",",",",643,Greek tragedies,Euripides,Orestes
607-906,τί μέλλετε;,τί μέλλετε ;,607,Greek tragedies,Euripides,Hecuba
575-917,Οἰδίπους ἦ τοῦ τυράννου τῆσδε γῆς πάλαι ποτέ;,Οἰδίπους ἦ τοῦ τυράννου τῆσδε γῆς πάλαι ποτέ ;,575,Greek tragedies,Sophocles,Oedipus King
380-1023,.,.,380,Greek tragedies,Sophocles,Philoctetes
292-288,ταῦτα καὶ μαντεύομαι.,ταῦτα καὶ μαντεύομαι .,292,Greek tragedies,Euripides,Ion
665-1103,.,.,665,Greek tragedies,Euripides,Hippolytus
665-54,τοῖς κακοῖσι δ οὐ θέμις.,τοῖς κακοῖσι δ οὐ θέμις .,665,Greek tragedies,Euripides,Hippolytus
186-653,Ἡνίοχος κακῶς πέπρακται κἀπὶ τοῖς κακοῖσι πρὸς αἴσχιστα·,Ἡνίοχος κακῶς πέπρακται κἀπὶ τοῖς κακοῖσι πρὸς αἴσχιστα ·,186,Greek tragedies,Euripides,Rhesus
130-576,Χορός — ἔα ἔα·,Χορός — ἔα ἔα ·,130,Greek tragedies,Euripides,Heracles
254-1028,"καί μοι τὰ πραχθέντʼ εἴπαθʼ ὡς βράχιστʼ,","καί μοι τὰ πραχθέντʼ εἴπαθʼ ὡς βράχιστʼ ,",254,Greek tragedies,Sophocles,Oedipus at Colonus
292-1239,Κρέουσα τί δῆτα φάσμα τῶν ἀνελπίστων ὁρῶ;,Κρέουσα τί δῆτα φάσμα τῶν ἀνελπίστων ὁρῶ ;,292,Greek tragedies,Euripides,Ion
314-242,ἄβουλος ὡς κεκερτομημένη τοῖς κερτομοῦσι γοργὸν ὄμμʼ ἀναβλέπει σὴ πατρίς,ἄβουλος ὡς κεκερτομημένη τοῖς κερτομοῦσι γοργὸν ὄμμʼ ἀναβλέπει σὴ πατρίς,314,Greek tragedies,Euripides,The Suppliants
643-501,"αἰεὶ γὰρ εἷς ἔμελλʼ ἐνέξεσθαι φόνῳ,","αἰεὶ γὰρ εἷς ἔμελλʼ ἐνέξεσθαι φόνῳ ,",643,Greek tragedies,Euripides,Orestes
146-517,Δαναός ἀλλʼ ἔστι φήμη τοὺς λύκους κρείσσους κυνῶν εἶναι·,Δαναός ἀλλʼ ἔστι φήμη τοὺς λύκους κρείσσους κυνῶν εἶναι ·,146,Greek tragedies,Aeschylus,Suppliants
605-1062,ἠδικήκαμεν.,ἠδικήκαμεν .,605,Greek tragedies,Euripides,Bacchae
605-855,γυμνοῦντο δὲ πλευραὶ σπαραγμοῖς·,γυμνοῦντο δὲ πλευραὶ σπαραγμοῖς ·,605,Greek tragedies,Euripides,Bacchae
652-784,Ἑκάβη μή νυν νεὼς σοὶ ταὐτὸν ἐσβήτω σκάφος.,Ἑκάβη μή νυν νεὼς σοὶ ταὐτὸν ἐσβήτω σκάφος .,652,Greek tragedies,Euripides,The Trojan Women
743-143,"Χορός ἐφεστίῳ δὲ μάντις ὢν μιάσματι μυχὸν ἐχράνατʼ αὐτόσσυτος, αὐτόκλητος,","Χορός ἐφεστίῳ δὲ μάντις ὢν μιάσματι μυχὸν ἐχράνατʼ αὐτόσσυτος , αὐτόκλητος ,",743,Greek tragedies,Aeschylus,Eumenides
390-539,Χορός οὕτως ὁ δαίμων κοινὸς ἦν ἀμφοῖν ἄγαν.,Χορός οὕτως ὁ δαίμων κοινὸς ἦν ἀμφοῖν ἄγαν .,390,Greek tragedies,Aeschylus,Seven against Thebes
754-990,ἄνυμφα δὲ μέλαθρα κεῖται·,ἄνυμφα δὲ μέλαθρα κεῖται ·,754,Greek tragedies,Euripides,Helen
110-753,"δμῶες δʼ ἰδόντες εὐθὺς ᾖξαν ἐς δόρυ,","δμῶες δʼ ἰδόντες εὐθὺς ᾖξαν ἐς δόρυ ,",110,Greek tragedies,Euripides,Elektra
254-1350,"ἐναισίου δὲ σοῦ τύχοιμι,","ἐναισίου δὲ σοῦ τύχοιμι ,",254,Greek tragedies,Sophocles,Oedipus at Colonus
743-657,Ἀθηνᾶ τῷ γὰρ σέβοντι συμφορὰς ὀρθώσομεν.,Ἀθηνᾶ τῷ γὰρ σέβοντι συμφορὰς ὀρθώσομεν .,743,Greek tragedies,Aeschylus,Eumenides
428-811,εἴθʼ ὤφελες τοιάδε τὴν γνώμην πατρὸς θνῄσκοντος εἶναι·,εἴθʼ ὤφελες τοιάδε τὴν γνώμην πατρὸς θνῄσκοντος εἶναι ·,428,Greek tragedies,Sophocles,Electra
561-530,"ἀθυμῶ δʼ, εἰ φανήσομαι τάχα κακὸν μέγʼ ἐκπράξασʼ ἀπʼ ἐλπίδος καλῆς.","ἀθυμῶ δʼ , εἰ φανήσομαι τάχα κακὸν μέγʼ ἐκπράξασʼ ἀπʼ ἐλπίδος καλῆς .",561,Greek tragedies,Sophocles,Women of Trachis
254-1153,Οἰδίπους τίς οὗτος;,Οἰδίπους τίς οὗτος ;,254,Greek tragedies,Sophocles,Oedipus at Colonus
432-208,ἐξαίρει γὰρ αὐτὸν αἰόλισμα τῆς λύρας.,ἐξαίρει γὰρ αὐτὸν αἰόλισμα τῆς λύρας .,432,Greek tragedies,Sophocles,Tracking Satyrs
643-1327,ἐγὼ δʼ ἡγήσομαι·,ἐγὼ δʼ ἡγήσομαι ·,643,Greek tragedies,Euripides,Orestes
314-123,", ἦλθον Ἀμφιάρεώ γε πρὸς βίαν.",", ἦλθον Ἀμφιάρεώ γε πρὸς βίαν .",314,Greek tragedies,Euripides,The Suppliants
647-902,ἦ τις ἦν τότʼ ἐν δόμοις ἔρις ἐρίδματος ἀνδρὸς οἰζύς.,ἦ τις ἦν τότʼ ἐν δόμοις ἔρις ἐρίδματος ἀνδρὸς οἰζύς .,647,Greek tragedies,Aeschylus,Agamemnon
110-213,"Ὀρέστης νέα γάρ, οὐδὲν θαῦμʼ, ἀπεζεύχθης νέου.","Ὀρέστης νέα γάρ , οὐδὲν θαῦμʼ , ἀπεζεύχθης νέου .",110,Greek tragedies,Euripides,Elektra
428-586,.,.,428,Greek tragedies,Sophocles,Electra
665-517,Φαίδρα οὐκ οἶδα πλὴν ἕν·,Φαίδρα οὐκ οἶδα πλὴν ἕν ·,665,Greek tragedies,Euripides,Hippolytus
328-504,ὅπως πέδοι σκήψασα τῶν πάντων πόνων ἀπηλλάγην,ὅπως πέδοι σκήψασα τῶν πάντων πόνων ἀπηλλάγην,328,Greek tragedies,Aeschylus,Prometheus Bound
665-982,"Χορός Κυνηγῶν ἦ μέγα μοι τὰ θεῶν μελεδήμαθ,","Χορός Κυνηγῶν ἦ μέγα μοι τὰ θεῶν μελεδήμαθ ,",665,Greek tragedies,Euripides,Hippolytus
254-816,Κρέων οὐκ ἄξεθʼ ὑμεῖς;,Κρέων οὐκ ἄξεθʼ ὑμεῖς ;,254,Greek tragedies,Sophocles,Oedipus at Colonus
452-288,"Ἰοκάστη ἡ πατρίς,","Ἰοκάστη ἡ πατρίς ,",452,Greek tragedies,Euripides,The Phoenician Women
665-981,"ὡς οὔποτ ἄλλον ἄνδρα σωφρονέστερον ὄψεσθε, κεἰ μὴ ταῦτ ἐμῷ δοκεῖ πατρί.","ὡς οὔποτ ἄλλον ἄνδρα σωφρονέστερον ὄψεσθε , κ εἰ μὴ ταῦτ ἐμῷ δοκεῖ πατρί .",665,Greek tragedies,Euripides,Hippolytus
38-362,"Χορός ἀλλὰ σύ μοι Γᾶ τε καὶ ἄλλοι χθονίων ἁγεμόνες δαίμονα μεγαυχῆ ἰόντʼ αἰνέσατʼ ἐκ δόμων, Περσᾶν Σουσιγενῆ θεόν·","Χορός ἀλλὰ σύ μοι Γᾶ τε καὶ ἄλλοι χθονίων ἁγεμόνες δαίμονα μεγαυχῆ ἰόντʼ αἰνέσατʼ ἐκ δόμων , Περσᾶν Σουσιγενῆ θεόν ·",38,Greek tragedies,Aeschylus,Persians
